Posição,Clube,Estado,Faturamento,Deficit ou Superavit,Ano,Faturamento(Milhões),Superavit/Deficit(Milhões)
1,Palmeiras,São Paulo,"R$ 947,6 Milhões[1]","R$ 123,4 Milhões[1]",2021,947.6,123.4
1,Flamengo,Rio de Janeiro,"R$ 668,6 milhões[23]","R$ -106,9 milhões[4]",2020,668.6,106.9
2,Atlético Mineiro,Minas Gerais,"R$ 615,8 milhões[5]","R$ 19,2 milhões[5]",2020,615.8,19.2
3,Palmeiras,São Paulo,"R$ 611,8 milhões[6]","R$ -151,0 milhões[6]",2020,611.8,151.0
4,Grêmio,Rio Grande do Sul,"R$ 489,0 milhões[24]","R$ 37,5 milhões[24]",2020,489.0,37.5
5,Corinthians,São Paulo,"R$ 474,3 milhões[7]","R$ -123,3 milhões[7]",2020,474.3,123.3
6,São Paulo,São Paulo,"R$ 358,4 milhões[8]","R$ -129,6 milhões[8]",2020,358.4,129.6
7,Athletico Paranaense,Paraná,"R$ 324,8 milhões[9]","R$ 134,4 milhões[9]",2020,324.8,134.4
8,Internacional,Rio Grande do Sul,"R$ 281,2 milhões[10]","R$ -91,8 milhões[10]",2020,281.2,91.8
9,Santos,São Paulo,"R$ 239,8 milhões[11]","R$ -119,8 milhões[11]",2020,239.8,119.8
10,Vasco,Rio de Janeiro,"R$ 191,7 milhões[12]","R$ -64,4 milhões[12]",2020,191.7,64.4
11,Red Bull Bragantino,São Paulo,"R$ 159,6 Milhões[25]","R$ 13,4 Milhões[13]",2020,159.6,13.4
12,Botafogo,Rio de Janeiro,"R$ 156,5 Milhões[14]","R$ -139,0 Milhões[14]",2020,156.5,139.0
13,Bahia,Bahia,"R$ 130,6 milhões[15]","R$ -50,6 milhões[15]",2020,130.6,50.6
14,Cruzeiro,Minas Gerais,"R$ 123,0 milhões[16]","R$ -227,0 milhões[16]",2020,123.0,227.0
15,Ceará,Ceará,"R$ 103,2 Milhões[17]","R$ 0,4 Milhão[17]",2020,103.2,0.4
16,Coritiba,Paraná,"R$ 101,8 Milhões[18]","R$ -22,2 Milhões[18]",2020,101.8,22.2
17,Goiás,Goiás,"R$ 90,3 Milhões[19]","R$ -3,1 Milhões[19]",2020,90.3,3.1
18,Fortaleza,Ceará,"R$ 86,1 Milhões[20]","R$ -9,7 Milhões[20]",2020,86.1,9.7
19,Sport,Pernambuco,"R$ 54,5 Milhões[21]","R$ -3,7 Milhões[21]",2020,54.5,3.7
20,Atlético Goianiense,Goiás,"R$ 51,2 Milhões[22]","R$ 2,7 Milhões[22]",2020,51.2,2.7
1,Flamengo,Rio de Janeiro,"R$ 950,4 Milhões[26]","R$ 62,9 Milhões[27]",2019,950.4,62.9
2,Palmeiras,São Paulo,"R$ 665,5 Milhões[28]","R$ 1,7 Milhão[28]",2019,665.5,1.7
3,Grêmio,Rio Grande do Sul,"R$ 497,0 Milhões[29]","R$ 22,2 Milhões[30]",2019,497.0,22.2
4,Internacional,Rio Grande do Sul,"R$ 441,3 Milhões[31]","R$ -3,0 Milhões[31]",2019,441.3,3.0
5,Corinthians,São Paulo,"R$ 425,7 Milhões[32]","R$ -177,0 Milhões[32]",2019,425.7,177.0
6,Santos,São Paulo,"R$ 399,8 Milhões[33]","R$ 23,5 Milhões [33]",2019,399.8,23.5
7,São Paulo,São Paulo,"R$ 398,0 Milhões[34]","R$ -159,1 Milhões [34]",2019,398.0,159.1
8,Athletico Paranaense,Paraná,"R$ 378,7 Milhões[35]","R$ 63,4 Milhões[35]",2019,378.7,63.4
9,Atlético Mineiro,Minas Gerais,"R$ 342,7 Milhões[36]","R$ -5,8 Milhões[36]",2019,342.7,5.8
10,Cruzeiro,Minas Gerais,"R$ 280,8 Milhões[37]","R$ -394,1 Milhões[37]",2019,280.8,394.1
11,Fluminense,Rio de Janeiro,"R$ 265,2 Milhões[38]","R$ -9,3 Milhões[38]",2019,265.2,9.3
12,Vasco,Rio de Janeiro,"R$ 215,3 Milhões","R$ -5,0 Milhões[39]",2019,215.3,5.0
13,Botafogo,Rio de Janeiro,"R$ 191,3 Milhões[40]","R$ -20,8 Milhões[40]",2019,191.3,20.8
14,Bahia,Bahia,"R$ 189,5 Milhões[41]","R$ 3,9 Milhões[41]",2019,189.5,3.9
15,Fortaleza,Ceará,"R$ 120,4 Milhões[42]","R$ 3,4 Milhões[42]",2019,120.4,3.4
16,Ceará,Ceará,"R$ 98,0 Milhões[43]","R$ 5,7 Milhões[43]",2019,98.0,5.7
17,Goiás,Goiás,"R$ 99,3 Milhões[44]","R$ 2,8 Milhões[44]",2019,99.3,2.8
18,Chapecoense,Santa Catarina,"R$ 79,9 Milhões[45]","R$ -50,7 Milhões[45]",2019,79.9,50.7
19,Vitória,Bahia,"R$ 53,0 Milhões[46]","R$ -29,3 Milhões[46]",2019,53.0,29.3
20,Coritiba,Paraná,"R$ 37,9 Milhões[47]","R$ -12,6 Milhões[47]",2019,37.9,12.6
1,Palmeiras,São Paulo,"R$ 688,6 Milhões[48]","R$ 30,7 Milhões[48]",2018,688.6,30.7
2,Flamengo,Rio de Janeiro,"R$ 543,0 Milhões[49]","R$ 45,8 Milhões[50]",2018,543.0,45.8
3,Corinthians,São Paulo,"R$ 466,9 Milhões[51]","R$ -18,7 Milhões[51]",2018,466.9,18.7
4,São Paulo,São Paulo,"R$ 424,5 Milhões[52]","R$ 7,2 Milhões[52]",2018,424.5,7.2
5,Grêmio,Rio Grande do Sul,"R$ 402,0 Milhões[53]","R$ 54,0 Milhões[53]",2018,402.0,54.0
6,Cruzeiro,Minas Gerais,"R$ 386,8 Milhões[54]","R$ -27,2 Milhões[54]",2018,386.8,27.2
7,Fluminense,Rio de Janeiro,"R$ 297,3 Milhões[55]","R$ -1,4 Milhão[55]",2018,297.3,1.4
8,Internacional,Rio Grande do Sul,"R$ 293,2 Milhões[56]","R$ -9,5 Milhões[56]",2018,293.2,9.5
9,Vasco,Rio de Janeiro,"R$ 260,9 Milhões[57]","R$ 64,9 Milhões[57]",2018,260.9,64.9
10,Atlético Mineiro,Minas Gerais,"R$ 257,9 Milhões[58]","R$ -21,8 Milhões[58]",2018,257.9,21.8
11,Santos,São Paulo,"R$ 217,7 Milhões[59]","R$ -77,3 Milhões[59]",2018,217.7,77.3
12,Athletico Paranaense,Paraná,"R$ 207,4 Milhões[60]","R$ 16,4 Milhões[60]",2018,207.4,16.4
13,Botafogo,Rio de Janeiro,"R$ 182,9 Milhões[61]","R$ -17,2 Milhões[61]",2018,182.9,17.2
14,Bahia,Bahia,"R$ 136,1 Milhões[62]","R$ 4,4 Milhões[62]",2018,136.1,4.4
15,Sport,Pernambuco,"R$ 104,1 Milhões[63]","R$ -14,3 Milhões[63]",2018,104.1,14.3
16,Coritiba,Paraná,"R$ 102,8 Milhões[64]","R$ 2,6 Milhões[64]",2018,102.8,2.6
17,Vitória,Bahia,"R$ 88,3 Milhões[65]","R$ -3,9 Milhões[65]",2018,88.3,3.9
18,Chapecoense,Santa Catarina,"R$ 80,1 Milhões[66]","R$ -38,6 Milhões[66]",2018,80.1,38.6
19,Goiás,Goiás,"R$ 76,4 Milhões[68]","R$ 9,3 Milhões[68]",2018,76.4,9.3
20,Ceará,Ceará,"R$ 64,7 Milhões[67]","R$ 3,0 Milhões[67]",2018,64.7,3.0
1,Flamengo,Rio de Janeiro,"R$ 648,7 Milhões[69]","R$ 159,1 Milhões[69]",2017,648.7,159.1
2,Palmeiras,São Paulo,"R$ 531,1 Milhões[70]","R$ 57,0 Milhões[70]",2017,531.1,57.0
3,São Paulo,São Paulo,"R$ 472,0 Milhões[71]","R$ 15,1 Milhões[71]",2017,472.0,15.1
4,Corinthians,São Paulo,"R$ 391,2 Milhões[72]","R$ -35,1 Milhões[72]",2017,391.2,35.1
5,Cruzeiro,Minas Gerais,"R$ 344,3 Milhões[73]","R$ 30,5 Milhões[73]",2017,344.3,30.5
6,Grêmio,Rio Grande do Sul,"R$ 341,2 Milhões[74]","R$ 2,7 Milhões[74]",2017,341.2,2.7
7,Atlético Mineiro,Minas Gerais,"R$ 311,3 Milhões[75]","R$ -25,1 Milhões[75]",2017,311.3,25.1
8,Santos,São Paulo,"R$ 287,0 Milhões[76]","R$ 3,4 Milhões[76]",2017,287.0,3.4
9,Botafogo,Rio de Janeiro,"R$ 264,3 Milhões[77]","R$ 53,3 Milhões[77]",2017,264.3,53.3
10,Internacional,Rio Grande do Sul,"R$ 245,9 Milhões[78]","R$ -62,5 Milhões[78]",2017,245.9,62.5
11,Fluminense,Rio de Janeiro,"R$ 229,0 Milhões[79]","R$ -67,8 Milhões[79]",2017,229.0,67.8
12,Vasco,Rio de Janeiro,"R$ 194,9 Milhões[80]","R$ -18,8 Milhões[80]",2017,194.9,18.8
13,Atlético Paranaense,Paraná,"R$ 170,0 Milhões[81]","R$ 26,4 Milhões[81]",2017,170.0,26.4
14,Coritiba,Paraná,"R$ 118,9 Milhões[82]","R$ -8,7 Milhões[82]",2017,118.9,8.7
15,Sport,Pernambuco,"R$ 105,4 Milhões[83]","R$ -18,3 Milhões[83]",2017,105.4,18.3
16,Bahia,Bahia,"R$ 104,8 Milhões[84]","R$ -8,6 Milhões[84]",2017,104.8,8.6
17,Chapecoense,Santa Catarina,"R$ 99,8 Milhões[85]","R$ 5,2 Milhões[85]",2017,99.8,5.2
18,Vitória,Bahia,"R$ 88,1 Milhões[86]","R$ -59,8 Milhões[86]",2017,88.1,59.8
19,Ponte Preta,São Paulo,"R$ 68,7 Milhões[87]","R$ -5,6 Milhões[87]",2017,68.7,5.6
20,Goiás,Goiás,"R$ 64,7 Milhões[88]","R$ 1,6 Milhão[88]",2017,64.7,1.6
1,Flamengo,Rio de Janeiro,"R$ 510,0 Milhões[89]","R$ 153,4 Milhões[89]",2016,510.0,153.4
2,Palmeiras,São Paulo,"R$ 497,7 Milhões[90]","R$ 89,5 Milhões[90]",2016,497.7,89.5
3,Corinthians,São Paulo,"R$ 485,4 Milhões[91]","R$ 31,0 Milhões[92]",2016,485.4,31.0
4,São Paulo,São Paulo,"R$ 393,3 Milhões[93]","R$ 0,8 Milhão[93]",2016,393.3,0.8
5,Atlético Mineiro,Minas Gerais,"R$ 316,3 Milhões[94]","R$ 2,1 Milhões[94]",2016,316.3,2.1
6,Grêmio,Rio Grande do Sul,"R$ 312,6 Milhões[95]","R$ 35,3 Milhões[95]",2016,312.6,35.3
7,Santos,São Paulo,"R$ 295,8 Milhões[96]","R$ 54,7 Milhões[96]",2016,295.8,54.7
8,Fluminense,Rio de Janeiro,"R$ 293,1 Milhões[97]","R$ 8,3 Milhões[97]",2016,293.1,8.3
9,Internacional,Rio Grande do Sul,"R$ 292,6 Milhões[98]","R$ -11,1 Milhões[98]",2016,292.6,11.1
10,Cruzeiro,Minas Gerais,"R$ 238,3 Milhões[99]","R$ -29,3 Milhões[99]",2016,238.3,29.3
11,Vasco,Rio de Janeiro,"R$ 213,3 Milhões[100]","R$ 11,9 Milhões[100]",2016,213.3,11.9
12,Atlético Paranaense,Paraná,"R$ 180,9 Milhões[101]","R$ 36,5 Milhões[101]",2016,180.9,36.5
13,Botafogo,Rio de Janeiro,"R$ 156,2 Milhões[102]","R$ -9,2 Milhões[103]",2016,156.2,9.2
14,Sport,Pernambuco,"R$ 129,5 Milhões[104]","R$ -0,5 Milhão[104]",2016,129.5,0.5
15,Bahia,Bahia,"R$ 128,4 Milhões[105]","R$ 21,8 Milhões[105]",2016,128.4,21.8
16,Vitória,Bahia,"R$ 111,9 Milhões[106]","R$ 25,9 Milhões[106]",2016,111.9,25.9
17,Coritiba,Paraná,"R$ 109,5 Milhões[107]","R$ -11,0 Milhões[107]",2016,109.5,11.0
18,Goiás,Goiás,"R$ 90,4 Milhões[108]","R$ 15,7 Milhões[108]",2016,90.4,15.7
19,Chapecoense,Santa Catarina,"R$ 74,8 Milhões[109]","R$ 6,7 Milhões[109]",2016,74.8,6.7
20,Figueirense,Santa Catarina,"R$ 70,8 Milhões[110]","R$ 2,6 Milhões[110]",2016,70.8,2.6
1,Cruzeiro,Minas Gerais,"R$ 363,8 Milhões[111]","R$ -25,7 Milhões[111]",2015,363.8,25.7
2,Flamengo,Rio de Janeiro,"R$ 356,2 Milhões[116]","R$ 130,4 Milhões[112]",2015,356.2,130.4
3,Palmeiras,São Paulo,"R$ 350,5 Milhões[113]","R$ 10,9 Milhões[113]",2015,350.5,10.9
4,São Paulo,São Paulo,"R$ 330,8 Milhões[114]","R$ -72,5 Milhões[114]",2015,330.8,72.5
5,Corinthians,São Paulo,"R$ 298,4 Milhões[115]","R$ -97,0 Milhões[115]",2015,298.4,97.0
6,Internacional,Rio Grande do Sul,"R$ 297,0 Milhões[117]","R$ 27,5 Milhões[117]",2015,297.0,27.5
7,Atlético Mineiro,Minas Gerais,"R$ 244,6 milhões[118]","R$ -11,9 milhões[118]",2015,244.6,11.9
8,Grêmio,Rio Grande do Sul,"R$ 192,6 Milhões[119]","R$ -37,5 Milhões[120]",2015,192.6,37.5
9,Vasco,Rio de Janeiro,"R$ 189,7 Milhões[121]","R$ 119,8 Milhões[121]",2015,189.7,119.8
10,Fluminense,Rio de Janeiro,"R$ 180,3 Milhões[122]","R$ 31,8 Milhões[122]",2015,180.3,31.8
11,Atlético Paranaense,Paraná,"R$ 179,8 Milhões[123]","R$ 45,8 Milhões[123]",2015,179.8,45.8
12,Santos,São Paulo,"R$ 169,9 Milhões[124]","R$ -78,1 Milhões[124]",2015,169.9,78.1
13,Botafogo,Rio de Janeiro,"R$ 113,8 Milhões[125]","R$ 108,8 Milhões[125]",2015,113.8,108.8
14,Bahia,Bahia,"R$ 89,3 Milhões[126]","R$ 34,1 Milhões[126]",2015,89.3,34.1
15,Sport,Pernambuco,"R$ 87,6 Milhões[127]","R$ -26,5 Milhões[127]",2015,87.6,26.5
16,Coritiba,Paraná,"R$ 85,6 Milhões[128]","R$ -16,4 Milhões[128]",2015,85.6,16.4
17,Goiás,Goiás,"R$ 75,4 Milhões[129]","R$ 25,5 Milhões[129]",2015,75.4,25.5
18,Ponte Preta,São Paulo,"R$ 53,7 Milhões[130]","R$ 0,4 Milhão[130]",2015,53.7,0.4
19,Vitória,Bahia,"R$ 52,2 Milhões[131]","R$ -7,6 Milhões[131]",2015,52.2,7.6
20,Figueirense,Santa Catarina,"R$ 47,5 Milhões[132]","R$ 1,0 Milhões[132]",2015,47.5,1.0
1,Flamengo,Rio de Janeiro,"R$ 347,0 Milhões[133]","R$ 64,3 Milhões[133]",2014,347.0,64.3
2,Corinthians,São Paulo,"R$ 258,2 Milhões[133]","R$ -97,0 Milhões[133]",2014,258.2,97.0
3,São Paulo,São Paulo,"R$ 255,3 Milhões[133]","R$ -100,1 Milhões[133]",2014,255.3,100.1
4,Palmeiras,São Paulo,"R$ 247,6 Milhões[133]","R$ -27,7 Milhões[133]",2014,247.6,27.7
5,Cruzeiro,Minas Gerais,"R$ 223,2 Milhões[133]","R$ -38,7 Milhões[133]",2014,223.2,38.7
6,Internacional,Rio Grande do Sul,"R$ 221,5 Milhões[133]","R$ -49,1 Milhões[133]",2014,221.5,49.1
7,Grêmio,Rio Grande do Sul,"R$ 216,4 Milhões[133]","R$ -31,6 Milhões[133]",2014,216.4,31.6
8,Atlético Mineiro,Minas Gerais,"R$ 178,9 Milhões[133]","R$ -48,4 Milhões[133]",2014,178.9,48.4
9,Santos,São Paulo,"R$ 171,2 Milhões[124]","R$ -59,0 Milhões[133]",2014,171.2,59.0
10,Botafogo,Rio de Janeiro,"R$ 163,4 Milhões[133]","R$ -174,8 Milhões[133]",2014,163.4,174.8
11,Atlético Paranaense,Paraná,"R$ 154,7 Milhões[133]","R$ 43,2 Milhões[133]",2014,154.7,43.2
12,Vasco,Rio de Janeiro,"R$ 129,2 Milhões[133]","R$ -13,6 Milhões[133]",2014,129.2,13.6
13,Fluminense,Rio de Janeiro,"R$ 122,3 Milhões[133]","R$ -7,1 Milhões[133]",2014,122.3,7.1
14,Coritiba,Paraná,"R$ 87,3 Milhões[133]","R$ -42,9 Milhões[133]",2014,87.3,42.9
15,Bahia,Bahia,"R$ 75,8 Milhões[133]","R$ -13,7 Milhões[133]",2014,75.8,13.7
16,Goiás,Goiás,"R$ 66,7 Milhões[138]","R$ 15,1 Milhões[136]",2014,66.7,15.1
17,Vitória,Bahia,"R$ 61,8 Milhões[133]","R$ 0,3 Milhão[133]",2014,61.8,0.3
18,Sport,Pernambuco,"R$ 60,8 Milhões[138]","R$ -8,6 Milhões[135]",2014,60.8,8.6
19,Criciúma,Santa Catarina,"R$ 43,2 milhões[137]","R$ 0,9 milhão[137]",2014,43.2,0.9
